| Object_ID |           x_center |           y_center |
|       108 |  681.8950861239589 |  81.68936288505255 |
|       109 | 229.53497289332478 |  83.13375381984066 |
|       110 |  423.1072469674444 |   82.7159347041059 |
|       111 |  443.8390239259598 |  82.63076484390781 |
|       112 | 464.79660675009774 |  83.09507139899034 |
|       113 |  686.2179698765476 |   83.3048252859432 |
|       114 | 158.36461161966236 |    83.568781503463 |
|       115 | 285.54546970849964 |   83.8896327471722 |
|       116 | 356.05508569577637 |  84.00129756236414 |
|       117 |  399.0654333048301 |  84.02101533471759 |
|       118 |  645.4237335004259 |  84.52335183645674 |
|       119 |  566.7755250649153 |   85.2391211824743 |
|       120 |  773.0716209610493 |    84.716364032762 |
|       121 |  209.3454721713782 |  86.47809455657779 |
|       122 | 349.60335539182273 |  86.05821692836358 |
