| Object_ID |           x_center |           y_center | f1_id | f2_id |          separation |
|        24 |  686.0044785114903 |  82.66810296099945 |   102 |   113 |  1.3431215611936123 |
|        25 | 398.76265440049616 |  83.37965083709753 |   104 |   117 |   1.418482969537666 |
|        26 |  566.5142530562334 |  84.60313245096307 |   105 |   119 |   1.375128690893974 |
|        27 |  697.4541470565472 |  85.09413913107797 |   106 |   125 |  1.3758892177402846 |
|        28 |  363.0764135024578 |  85.59364947577805 |   107 |   123 |  1.4752661265634686 |
|        29 |    590.69121074392 |    86.099576640837 |   109 |   127 |  1.2949150970693843 |
|        30 |  338.2816231289295 |   86.9331113765189 |   110 |   131 |  1.4807058075076138 |
|        31 |  494.0458194480992 |  86.25469755977079 |   111 |   126 |  1.4186380117408015 |
|        32 |  671.3868045292428 |  86.82411758361181 |   112 |   128 |   1.488328237594039 |
|        33 | 242.51193514695746 |  87.96181660651216 |   114 |   134 |  1.4597185701464892 |
|        34 |  777.4415902587498 |  88.72537034433304 |   119 |   135 |  1.3998103302198417 |
|        35 |  622.8137824910029 |   89.6199257613016 |   121 |   138 |  1.3239869007235043 |
|        36 |  634.5928493120855 |   89.5288655170502 |   122 |   139 |  1.4744495067632166 |
|        37 |  528.4637656413986 |  91.84703863769101 |   125 |   146 |  1.4847093539186076 |
|        38 |  358.8650852080017 |  92.22564002664586 |   127 |   145 |   1.401771915244768 |
|        39 |  394.7523480232835 |  92.89524846579204 |   128 |   152 |  1.4400825455810198 |
|        40 |  653.3883624520942 |  92.68686735277792 |   129 |   147 |  1.4171602121571134 |
|        41 | 124.77888068300035 |  93.39482586327318 |   130 |   148 |  1.3648536235699533 |
|        42 | 364.17600941981715 |  93.29975102941468 |   133 |   151 |  1.4034363943745327 |
|        43 |  628.6096811274751 |  93.66852974240604 |   135 |   153 |   1.423045081782074 |
|        44 |    718.58348582137 |  93.40678629607606 |   136 |   154 |  1.3478288987483855 |
|        45 |  755.4410928796108 |  93.93701147092452 |   137 |   164 |  1.4027245631800986 |
|        46 |  271.4319995768295 |  95.05038934642226 |   138 |   166 |  1.4166628875968985 |
|        47 |  478.9491825658631 |  94.36027544749297 |   140 |   158 |   1.442543230734792 |
|        48 | 511.25421136869426 |  94.43133777959272 |   141 |   159 |   1.468393019401138 |
|        49 |    564.95489084408 |  94.60403128899841 |   142 |   160 |  1.3876147907000846 |
|        50 |  704.2711188352757 |   94.0723542883245 |   143 |   162 |  1.2559370445679092 |
|        51 |  712.2081330640337 |   94.4482804101415 |   144 |   163 |  1.2856005204456034 |
|        52 |  791.1388363350361 |  94.50895918979299 |   145 |   165 |  1.3380478512614074 |
|        53 | 377.12564691135503 |  95.27440740474071 |   146 |   167 |   1.407215107598593 |
|        54 |  796.1770572203609 |   94.8902864697319 |   147 |   168 |  1.3210897988432937 |
|        55 |  167.3918552198577 |  98.10268423362459 |   152 |   169 |  1.4721486644982955 |
|        56 |  498.7347164855313 |  99.15896331695254 |   155 |   174 |  1.2735434632889453 |
|        57 |  662.0942017367277 |  99.31667156446434 |   157 |   175 |   1.362041620947294 |
|        58 |  741.1778113256153 |  99.23921422259139 |   159 |   176 |  1.3531835684269573 |
|        59 |  64.83660360523392 | 100.36685449675619 |   161 |   177 |  1.4127119814610274 |
|        60 | 234.70386745350524 | 100.69457162040699 |   162 |   182 |    1.23140651489475 |
|        61 |  310.0034847560577 | 100.83669221719595 |   163 |   184 |  1.3760434384145248 |
|        62 |  364.2050619355284 | 100.26795365118522 |   165 |   179 |  1.4826674340909518 |
|        63 |  492.7634270096843 | 101.08706902800816 |   166 |   186 |  1.3859284230822353 |
|        64 | 250.17348982831237 |  101.1467569406199 |   167 |   183 |  1.4450720739928282 |
|        65 | 442.42564161974593 | 101.58177343996148 |   168 |   185 |  1.3977637957505378 |
|        66 |  532.8217492906858 | 101.92323635183438 |   169 |   187 |   1.405637622544132 |
|        67 |  544.0629636101667 |  101.3769621057501 |   170 |   188 |  1.2665634911244499 |
|        68 |  646.8028565266884 | 103.37601451591237 |   174 |   191 |  1.3149748424633168 |
|        69 |  400.3179511577122 | 104.46100093802235 |   177 |   196 |  1.4822166433856327 |
|        70 |   586.120081562438 | 104.23604050487774 |   179 |   197 |   1.394604965397758 |
|        71 | 244.97422167528816 | 105.93831884685198 |   180 |   202 |  1.4256087551126997 |
|        72 |  481.8368023005123 | 105.24228635949078 |   181 |   199 |  1.4263673683879434 |
|        73 |  567.9433320012151 | 106.57855693839815 |   187 |   203 |   1.447081018331124 |
|        74 |  381.9567246862056 |  108.4938864865864 |   191 |   206 |  1.2858645156791568 |
|        75 |  693.8081818486121 | 108.10664762032104 |   193 |   208 |  1.3603697352260142 |
|        76 |  620.3103212627279 | 109.54221793393808 |   194 |   209 |   1.441754508448792 |
|        77 |  787.5906183259539 |  110.0629273038947 |   195 |   212 |  1.3323785971816484 |
|        78 |  673.9810558150828 | 110.96707327783645 |   197 |   215 |  1.3030743238111826 |
|        79 | 389.77032073663474 | 111.95514452592046 |   198 |   219 |   1.424667840526059 |
|        80 |  597.9294544540624 | 110.74595718646088 |   202 |   214 |  1.3735726017102134 |
|        81 |  661.4789465298373 |   112.506733873612 |   204 |   221 |  1.4115284354172846 |
|        82 |   524.316276843649 |  114.1850775954712 |   208 |   227 |  1.4336915063357667 |
|        83 |  111.2776734671271 | 116.04217671734496 |   209 |   233 |  1.4807060467406725 |
|        84 |  399.8946988551024 | 115.82726685185332 |   212 |   228 |  1.4631343483455832 |
|        85 |  481.8600263370468 | 115.57730443750654 |   213 |   229 |  1.3851119255069275 |
|        86 |  584.1088084065375 | 115.35191667747665 |   214 |   230 |  1.3426253570303421 |
|        87 |  700.3589496638162 |  115.2074978328622 |   215 |   231 |  1.4357089204295697 |
|        88 |  747.3492799647344 | 116.26425138774135 |   216 |   232 |   1.094337791229472 |
|        89 |  425.9002282279596 | 116.26960021232637 |   220 |   236 |   1.347143087528819 |
|        90 |  690.3598960471543 | 116.62853298113428 |   221 |   238 |  1.1993257382384783 |
|        91 | 161.98283931071063 | 117.88978358406442 |   223 |   243 |    1.45796659978839 |
|        92 | 444.71999521719414 | 117.68588257402104 |   225 |   242 |   1.385261905604187 |
|        93 |   750.299480118776 |  117.9385548572319 |   226 |   247 |   1.319146924341244 |
|        94 |  309.5696385741077 |  118.6525683149051 |   227 |   244 |  1.3335060877049811 |
|        95 |  763.2210541501936 | 118.89111422698647 |   230 |   248 |  1.2853855521290873 |
|        96 |   661.436594068546 | 119.15366499892535 |   235 |   250 |  1.3781954714090623 |
|        97 |  392.5091758613443 |  120.9108032491765 |   239 |   254 |  1.4612916911037581 |
|        98 |  774.6649749197368 | 120.44793654849244 |   240 |   252 |  1.3632690761593362 |
|        99 |  341.9939472361509 | 121.60301806909715 |   241 |   253 |  1.4144370540059117 |
|       100 |  546.8495638704328 |  121.7426034897102 |   242 |   255 |  1.3544660360888992 |
|       101 |  611.4661474235406 | 121.53629602468294 |   243 |   256 |  1.2784149009445278 |
|       102 |  702.3057886270108 | 121.21288124130018 |   244 |   257 |  1.4780814869203696 |
|       103 |  413.3354632371634 | 122.62296816688851 |   247 |   259 |  1.4760040996683668 |
|       104 |  540.2116390371514 |  122.5484212141744 |   248 |   260 |  1.3625941089557716 |
|       105 |  765.4279820086726 |  122.4740514450963 |   249 |   262 |   1.347817964314092 |
|       106 |  795.5359302208665 | 122.47805974615684 |   250 |   263 |  1.3401952718816412 |
|       107 | 254.88279694752487 | 123.54942512823206 |   251 |   264 |  1.4494451965576993 |
|       108 | 320.25001383365327 | 124.10430434408713 |   252 |   270 |   1.343883081818511 |
|       109 |  534.6502543702493 | 123.58633380647476 |   254 |   265 |  1.2169033331104642 |
|       110 |  681.9246753759878 | 123.84393657919003 |   258 |   267 |  1.3123385362846585 |
|       111 |  695.2369408857124 | 123.45731078917166 |   259 |   268 |   1.400650419713801 |
|       112 | 285.65215548758846 | 125.18398561902245 |   260 |   274 |   1.295506041562666 |
|       113 | 431.81467150972946 | 124.32851458512164 |   261 |   271 |  1.3877879636384756 |
|       114 |   473.862391032754 | 124.80243075532377 |   262 |   272 |   1.420346605451738 |
|       115 |  239.0921280659656 | 126.23808167957986 |   264 |   277 |  1.3561039121989151 |
|       116 |  407.2488009901525 | 125.20881333484229 |   265 |   275 |  1.4989546425170373 |
|       117 |  391.3591092405859 | 126.78154808920047 |   268 |   279 |   1.438646695656387 |
|       118 |  600.8167861649237 | 126.86108454146652 |   271 |   280 |  1.3644360752376636 |
|       119 |  753.3593487710532 | 127.14136077985447 |   272 |   285 |   1.179286948085014 |
|       120 |   386.664487069728 | 127.89303280431034 |   274 |   282 |   1.488375501205188 |
|       121 | 183.16700729630156 | 129.33947631162692 |   276 |   288 |  1.3834490817878664 |
|       122 | 190.90183816228028 |  129.2511330289073 |   277 |   289 |  1.4839532288766633 |
|       123 | 456.91316228316435 | 130.53131694453236 |   282 |   296 |  1.3441260022701096 |
|       124 |   768.226060448148 | 131.12374565421274 |   283 |   300 |   1.209144807271186 |
|       125 |  339.4869176576001 |  132.0785075131515 |   284 |   302 |  1.4210497250951528 |
|       126 |   347.156727347618 |  131.1996567508871 |   285 |   297 |  1.3594291724270737 |
|       127 |  656.2278437738257 | 131.30234042038313 |   286 |   299 |  1.4174252386055142 |
|       128 | 232.18226212982006 | 133.12080726233245 |   288 |   308 |   1.417468547798947 |
|       129 |   609.615128682635 | 132.98048533340568 |   290 |   311 |  1.4478364875293994 |
|       130 |  619.7671344783873 | 132.87274896028384 |   291 |   303 |  1.4356668801284795 |
|       131 |  633.7296359106847 | 132.58412756935002 |   292 |   304 |  1.3950563694718288 |
|       132 |  84.20233766342645 |  133.1551414162703 |   293 |   306 |  1.4686136177070004 |
